index,Отзывы,Звузды,original
27,"хороший удлинитель, а мог бы быть подарком к гирлянде",5,"Хороший удлинитель, а мог бы быть подарком к гирлянде!"
28,"пришел быстро, все работает",5,"Пришел быстро, все работает"
29,"работает,все хорошо,минус что вонь просто режет глаза",4,"Работает,все хорошо,минус что вонь просто режет глаза"
30,хороший удлинитель,5,Хороший удлинитель
31,"все работает, очень нужная вещь спасибо",5,"Все работает, очень нужная вещь. Спасибо!"
32,"все отлично , работает достойно",5,"Все отлично , работает достойно"
33,"удлинитель норм, но вставляю не до конца в розетку иначе не работает",5,"Удлинитель норм, но вставляю не до конца в розетку. Иначе не работает."
34,все очень классно быстрая доставка и товар в хорошем состоянии,5,Все очень классно быстрая доставка и товар в хорошем состоянии
35,"все отлично, работает хорошо, очень удобно,так как родные шнуры от звезды и гирлянды короткие",5,"Всё отлично, работает хорошо, очень удобно,так как родные шнуры от звёзды и гирлянды короткие"
36,товар хороший доставка быстрая,5,Товар хороший. Доставка быстрая.
37,легкий удобный рекомендую,5,Лёгкий. удобный. Рекомендую
38,"нормальный, работает, хорошо втыкается хорошо",5,"Нормальный, работает, хорошо втыкается хорошо"
39,работает продавца рекомендую быстрая доставка,5,Работает. Продавца рекомендую. Быстрая доставка.
40,все хорошо работает спасибо,5,Всё хорошо работает. Спасибо
41,"все отлично, работает, быстроя доставка",5,"Всё отлично, работает, быстроя доставка"
42,со своим функционалом справляется отлично спасибо,5,Со своим функционалом справляется отлично. Спасибо
43,пришел заказанного размера свою функцию выполняет,5,Пришёл заказанного размера. Свою функцию выполняет.
44,"пришел быстро, работает хорошо",5,"Пришёл быстро, работает хорошо"
45,"удлинитель работает , все отлично",5,"Удлинитель работает , всё отлично."
46,"отлично работает, только можно было на 3 метра взять",5,"Отлично работает, только можно было на 3 метра взять)))"
47,"что ждали, то и пришло все работает ",5,"Что ждали, то и пришло. Все работает 👍"
48,все работает спасибо за доставку,5,Все работает. Спасибо за доставку.
49,отличный рабочий удлинитель,5,Отличный рабочий удлинитель
50,удленнитель в рабочем состоянии рекомендую,5,Удленнитель в рабочем состоянии. Рекомендую.
51,"все работает, все супер, спасибо не зря я их заказала, как палочка выручалочка с этими современными гирляндами",5,"Всё работает, всё супер, спасибо. Не зря я их заказала, как палочка выручалочка с этими современными гирляндами)"
52,"пришел быстро, все работает, упакован аккуратно",5,"Пришел быстро, все работает, упакован аккуратно"
53,"спасибо продавцу за быструю отправку, удлинитель работает",5,"Спасибо продавцу за быструю отправку, удлинитель работает."
54,"соответствует описанию, очень удобно",5,"Соответствует описанию, очень удобно."
55,"удлинитель хороший, прозрачный, не заметный",5,"Удлинитель хороший, прозрачный, не заметный."
56,"все хорошо,спасибо",5,"Всё хорошо,спасибо"
57,"все в целостности, работает",5,"Всё в целостности, работает."
58,"удленитель хорошие, брала 2 штуки все целое, работаю спасибо",5,"Удленитель хорошие, брала 2 штуки. Всё целое, работаю. Спасибо."
59,"качество хорошее, все работает",5,"Качество хорошее, все работает!"
60,"товар пришел быстро, удлинитель работает",5,"Товар пришёл быстро, удлинитель работает"
61,"хороший удлинитель, все работает",5,"Хороший удлинитель, все работает"
62,"все отлично, претензий к товару нет",5,"Всё отлично, претензий к товару нет."
63,ценакачество соответствуют работает,5,Цена-качество соответствуют. Работает.
64,удлинитель то что надовсе работает,5,"Удлинитель то что надо)))
Все работает"
65,"хорошие удлинители,взяла 2",5,"Хорошие удлинители,взяла 2."
66,работает сопливенький только в розетке лучше не оставлять а так все ок,4,Работает. Сопливенький только. В розетке лучше не оставлять. А так все ок
67,"все целое, доставка быстрая рекомендую",5,"Всё целое, доставка быстрая. Рекомендую."
68,"пришли быстро, брала сразу несколько штук все работают уже больше недели как купили, пока никакого брака есть очень легкий запах, не раздражает",5,"Пришли быстро, брала сразу несколько штук. Все работают. уже больше недели как купили, пока никакого брака. Есть очень лёгкий запах, не раздражает."
69,классный удлинитель все работает,5,Классный удлинитель. Все работает.
70,"все хорошо, только упаковка была порвана",5,"Все хорошо, только упаковка была порвана!"
71,пришла в нерабочем состоянии,1,Пришла в нерабочем состоянии
72,удлинитель нормальный для гирлянды,5,Удлинитель нормальный для гирлянды
73,"обслуживание хорошее, все работает",5,"Обслуживание хорошее, все работает"
74,"пришло в рабочем состоянии, рекомендую",5,"Пришло в рабочем состоянии, рекомендую."
75,"пришло целый, пока не проверяла",5,"Пришло целый, пока не проверяла."
76,доставили быстро все работает спасибо,5,Доставили быстро. Все работает. Спасибо.
77,очень удобнопрактически у всех гирлянд маленький шнурпрям радует что теперь с эти удлинителем нет проблемспасибо кто придумал,5,Очень удобно...практически у всех гирлянд маленький шнур...прям радует что теперь с эти удлинителем нет проблем...спасибо кто придумал))
78,"отличный товар за свои деньгивзяла 4 шт, все рабочие",5,"Отличный товар за свои деньги.
Взяла 4 шт, все рабочие."
79,"выписала два удлинителя, все рабочие спасибо",5,"Выписала два удлинителя, все рабочие. Спасибо"
80,"очень полезная штука спасибо,",5,"Очень полезная штука! Спасибо,"
81,"доставка быстрая , все хорошо,работает",5,"Доставка быстрая , все хорошо,работает"
82,удлинитель работает исправно,5,Удлинитель работает исправно.
83,"быстро пришло, все в рабочем состоянии",5,"Быстро пришло, все в рабочем состоянии"
84,"отличный товар,пришел быстро",5,"Отличный товар,пришел быстро"
85,все качественно и хорошо работает,5,Всё качественно и хорошо работает.
86,"все работает, качество хорошее пришло быстро",5,"Всё работает, качество хорошее. Пришло быстро."
87,"качество хорошее, рекомендую",5,"Качество хорошее, рекомендую"
88,"работает , заказываю уже не первый",5,"Работает , заказываю уже не первый"
89,"хороший удлинитель, вилка тугая",5,"Хороший удлинитель, вилка тугая"
90,"чо своей работой справляется ,рекомендую, особенно за такие деньги",5,"Чо своей работой справляется ,рекомендую, особенно за такие деньги"
91,"пришел быстро, за 2 дня работает",5,"Пришёл быстро, за 2 дня. Работает."
92,все отлично второй раз заказывала,5,Всё отлично. Второй раз заказывала
93,"удлинитель хороший, советую спасибо продавцу",5,"Удлинитель хороший, советую. Спасибо продавцу."
94,"работает, соответствует описанию",5,"Работает, соответствует описанию"
95,"пришла быстро, качество на отлично  рекомендую",5,"Пришла быстро, качество на отлично !!! Рекомендую."
96,"товар пришел в пакетике подключила гирлянду, все работает, в течении 3040 минут работы ничего не нагревается 5 метров удлинитель",5,"Товар пришёл в пакетике. Подключила гирлянду, все работает, в течении 30-40 минут работы ничего не нагревается. (5 метров удлинитель)"
97,"все соответствует, работает",5,"Всё соответствует, работает."
98,заказом довольна все хорошо,5,Заказом довольна. Всё хорошо.
99,"удлинитель работает, все отлично",5,"Удлинитель работает, всё отлично"
100,"хороший работает но немного зубья вилки гнет, а так нормально",5,"Хороший работает. Но немного зубья вилки гнет, а так нормально."
101,"хороший удлинитель, работает, подключили к гирлянде в виде большой снежинки",5,"Хороший удлинитель, работает, подключили к гирлянде в виде большой снежинки"
102,хорошо упаковано все подошло,5,Хорошо упаковано все подошло
103,"все работает,",5,"Все работает,"
104,"хороший удлинитель, штора отлично горит",5,"Хороший удлинитель, штора отлично горит"
105,"хороший удлинитель, работает исправно",5,"Хороший удлинитель, работает исправно👍👍👍👍👍"
106,"спасибо большое все хорошо упаковано, работает с наступающим новым годом",5,"Спасибо большое!!! Все хорошо упаковано, работает. С наступающим новым годом!!!"
107,"заказала два, один отлично работает, нареканий нет а вот второй удлинитель работает через раз но возвращать не стала",4,"Заказала два, один отлично работает, нареканий нет. А вот второй удлинитель работает через раз… но возвращать не стала."
108,"хороший удлинитель, работает отлично",5,"хороший удлинитель, работает отлично"
109,соответствует описаниюработает,5,Соответствует описанию.Работает
110,"все соответствует описанию, исправен спасибо",5,"Всё соответствует описанию, исправен. Спасибо."
111,"отличный переходник, для звезды на елку, и для лампы под цветы",5,"Отличный переходник, для звезды на ёлку, и для лампы под цветы👍"
112,все хорошо работает спасибо,5,Всё хорошо работает. Спасибо
113,пришел быстро работает все ок,5,Пришёл быстро. Работает. Всё ок
114,за такую цену отличный удлинитель,5,За такую цену отличный удлинитель
115,"отличный, как в описании, пришел за пару дней",5,"Отличный, как в описании, пришел за пару дней!"
116,удлинитель хороший со своей задачей справляется,5,Удлинитель хороший. Со своей задачей справляется.
117,"хороший товар, все работает спасибо",5,"Хороший товар, все работает. Спасибо!"
118,"удлинитель работает, все хорошо",5,"Удлинитель работает, всё хорошо"
119,"через неделю использования, удлинитель замкнул и весь почернел, дым был на всю квартиру, хорошо не спали еще , а то квартира бы сгорела",1,"Через неделю использования, удлинитель замкнул и весь почернел, дым был на всю квартиру, хорошо не спали еще , а то квартира бы сгорела"
120,"пригодился как раз, все отлично и цена что надо",5,"Пригодился как раз, все отлично. И цена что надо."
121,спасибо за качественный товар рекомендую,5,Спасибо за качественный товар! Рекомендую!
122,классная находка эти удлинители без проблем можно повесить все гирлянды все упаковано аккуратно и работает,4,Классная находка эти удлинители!!! Без проблем можно повесить все гирлянды!!! Всё упаковано аккуратно и работает!!!
123,"заказала 4 штуки и все отлично работают начиталась негативных отзывов, поэтому решила заказать побольше штук на всякий случай безумно довольна не знаю что больше радует цена или то, что все работают ",5,"Заказала 4 штуки и всё отлично работают (начиталась негативных отзывов, поэтому решила заказать побольше штук на всякий случай). Безумно довольна!! Не знаю что больше радует: цена или то, что все работают 😂😍"
124,"быстрая доставка, адекватная цена и очень нужная вещь для всех гирлянд",5,"Быстрая доставка, адекватная цена и очень нужная вещь для всех гирлянд!)"
125,"пришел во время,цена очень порадовала, целый товар,но упаковка была надорвана, неудивительно,ведь это был просто хрупкий прозрачный пакетик,по первенстве несколько минут было осущения гари,потом все прошло, к покупке рекомендую, однако поставщику нужно задуматься о более прочной упаковке, так как в пути следования товар может повредиться",5,"Пришёл во время,цена очень порадовала, целый товар,но упаковка была надорвана, неудивительно,ведь это был просто хрупкий прозрачный пакетик,по первенстве несколько минут было осущения гари,потом все прошло, к покупке рекомендую, однако поставщику нужно задуматься о более прочной упаковке, так как в пути следования товар может повредиться"
126,"все работает, спасибо продавцу",5,"Всё работает, спасибо продавцу!"
127,"все хорошо, доставка быстрая, товар соответствует моим запросам ",5,"Все хорошо, доставка быстрая, товар соответствует моим запросам 👍👏👏👏"
128,заказ доставлен очень быстро  ответственный продавец  спасибо,5,Заказ доставлен очень быстро . Ответственный продавец . Спасибо
129,"пришел хорошо запакован, рабочий",5,"Пришел хорошо запакован, рабочий!"
130,удлинитель для гирлянды то что нужно спасибо,5,Удлинитель для гирлянды то что нужно. Спасибо.
131,"нормальные удлинители, работают чуть криво сделаны и вилка от гирлянды туго вставляется, но главное чтобы работали",5,"Нормальные удлинители, работают. Чуть криво сделаны и вилка от гирлянды туго вставляется, но главное чтобы работали👍🏻"
132,все хорошо спасибочки с наступающим новым годом здоровья и мира вам,5,Всё хорошо! Спасибочки! С наступающим новым годом! Здоровья и мира вам!
133,"пришел целый, дома подключила гирлянду к удлинителю  все работает",5,"Пришёл целый, дома подключила гирлянду к удлинителю - всё работает"
134,обычный нормальный удлинитель для гирлянды,5,Обычный нормальный удлинитель для гирлянды
135,"обычный удлинитель все целое, работает",5,"Обычный удлинитель. Всё целое, работает."
136,удлинитель пришел в нерабочем состоянии,1,Удлинитель пришел в нерабочем состоянии
137,нормальный удлинитель за очень скромные деньги все нравится,5,Нормальный удлинитель за очень скромные деньги. Все нравится
138,все отлично  работает спасибо,5,Все отлично 👍🏻 работает спасибо
139,"подключили гирлянду очень удобно легкий, доставлен быстро",5,"Подключили гирлянду очень удобно лёгкий, доставлен быстро."
140,подошел идеально быстрая доставка и адекватная цена,5,Подошёл идеально. Быстрая доставка и адекватная цена.
141,3м соответствие с описание все работает,5,3м соответствие с описание. Всё работает
142,"купила 3 м, мне не хватало, чтобы поставить елочку все работает спасибо купила по смешной цене",5,"Купила 3 м, мне не хватало, чтобы поставить ёлочку. Всё работает! Спасибо! Купила по смешной цене!"
143,"хлипкий конечно, под стать самой гирлянде но все работает",4,"Хлипкий конечно, под стать самой гирлянде. Но всё работает"
144,приехал переломанный в месте стыка провода и переходника,1,Приехал переломанный в месте стыка провода и переходника.
145,соответствует описанию все работает,5,Соответствует описанию всё работает
146,отличный рабочий товар советую,5,Отличный рабочий товар. Советую.
147,"все работает,все хорошо,спасибо",5,"Все работает,все хорошо,спасибо"
148,"за свою цену отличный товар, в начале декабря брала за 62р работает без нареканий сейчас решила заказать второй, цена не сильно поднялась 77р в отличие от других продавцов спасибо вам",5,"За свою цену отличный товар, в начале декабря брала за 62р. Работает без нареканий. Сейчас решила заказать второй, цена не сильно поднялась (77р) в отличие от других продавцов. Спасибо вам!"
149,"соответствует описанию,не пахнет",5,"соответствует описанию,не пахнет"
150,"что то как то мне эта штука подозрительна вся кривенькая, косенькая, хлюпенькая это ж какую розетку под нее надо в магазине бы я ее не купила",3,"Что то как то мне эта штука подозрительна! Вся кривенькая, косенькая, хлюпенькая. Это ж какую розетку под неё надо. В магазине бы я её не купила"
151,нормальный удлинитель все подошло и работает доставка в срок,5,Нормальный удлинитель всё подошло и работает. Доставка в срок
152,вилка погнутая даже проверять не стала,5,Вилка погнутая. Даже проверять не стала
153,"плюсы легкий, прозрачный, рабочий минус, на мой взгляд, один, но существенный  жуткий запах как и у гирляндышторы",4,"Плюсы: лёгкий, прозрачный, рабочий. Минус, на мой взгляд, один, но существенный - жуткий запах!!! (как и у гирлянды-шторы)"
154,"рабочее, соответствует описанию рекомендую",5,"Рабочее, соответствует описанию рекомендую!"
155,вот не знала что такие переходники бывают решение проблем,5,Вот не знала что такие переходники бывают решение проблем
156,"заказ пришел быстро,удлинитель очень удобный советую всем",5,"Заказ пришёл быстро,удлинитель очень удобный советую всем"
157,"работает , 5 метров",5,"Работает , 5 метров"
158,очень нужная вещь в новогодние праздники,5,Очень нужная вещь в новогодние праздники😊
159,"отличный товар, все работает",5,"Отличный товар, всё работает"
160,"все хорошо, удлинитель рабочий",5,"Всё хорошо, удлинитель рабочий."
161,"пришел в срок, все целое, работает",5,"Пришёл в срок, всё целое, работает."
162,"хороший удлинитель,а сейчас еще и цена упала заказала второй",5,"Хороший удлинитель,а сейчас еще и цена упала 🔥
Заказала второй"
163,"хороший удлинитель, немного слабые контакты, пришлось склеить скотчем соединение с гирляндой в остальном все отлично, доставка быстрая",5,"Хороший удлинитель, немного слабые контакты, пришлось склеить скотчем соединение с гирляндой. В остальном всё отлично, доставка быстрая"
164,"товар пришел быстро, все класс",5,"Товар пришёл быстро, всё класс."
165,все работает  отличный удлинитель за свои деньги  пришел быстро ,5,Все работает ! Отличный удлинитель за свои деньги ! Пришел быстро !
166,хороший удлинитель качественный,5,Хороший удлинитель… качественный
167,"хороший удлинитель , очень удобно",5,"Хороший удлинитель , очень удобно"
168,удобный удлинитель единственный минус запах долго выветривается,4,Удобный удлинитель. Единственный минус- запах долго выветривается.
169,удлинитель то что надо  рекомендую,5,Удлинитель то что надо. . Рекомендую
170,"заказала два удлинителя,один пришел бракованный,второй чуть не сгорел дом,дым стоял столбом,видимо замкнул,сгорел полностью,весь черный был",1,"Заказала два удлинителя,один пришёл бракованный,второй чуть не сгорел дом,дым стоял столбом,видимо замкнул,сгорел полностью,весь чёрный был"
171,"все хорошо,вовремя, рекомендации",5,"Всё хорошо,вовремя, рекомендации."
172,все отличнопришел очень быстропродавца рекомендуют,5,"Всё отлично!
Пришел очень быстро!
Продавца рекомендуют!"
173,хороший провод и цена приятная 86р,5,Хороший провод и цена приятная 86р
174,"пришло в все работает, советую",5,"Пришло в всё работает, советую"
175,"товар соответствует описанию, все хорошо",5,"Товар соответствует описанию, всё хорошо"
176,удлинитель для гирлянды соответствует заявленному описанию все работает,5,Удлинитель для гирлянды соответствует заявленному описанию. Всё работает.
177,"все работает, очень удобно, не надо мучаться с удлинителями, эти красивее на елки смотрятся",5,"Всё работает, очень удобно, не надо мучаться с удлинителями, эти красивее на ёлки смотрятся"
178,отличный удлинитель метраж соответствует заявленному работает хорошо,5,Отличный удлинитель. Метраж соответствует заявленному. Работает хорошо.
179,"все работает, немного хлипкая вилка, но за такую цену отлично",5,"Все работает, немного хлипкая вилка, но за такую цену отлично."
180,"все работает, пришло во время и качество",5,"Все работает, пришло во время и качество🔥"
181,"отличный удлинитель, легкий, незаметный, заказала сначала один, все работает потом еще один разом решила все свои вечные проблемы с гирляндами, там где далеко до розеток быстрая доставка спасибо продавцу",5,"Отличный удлинитель, легкий, незаметный, заказала сначала один, все работает. Потом еще один. Разом решила все свои вечные проблемы с гирляндами, там где далеко до розеток. Быстрая доставка. Спасибо продавцу!"
182,"все хорошо, работает, у нас у нерусских 5м по 2р продают, чтоб знала не покупала бы, а так рабочий удлинитель",5,"Все хорошо, работает, у нас у нерусских 5м. По 2р. Продают, чтоб знала не покупала бы, а так рабочий удлинитель"
183,отличный удлинитель цена супер рекомендую,5,Отличный удлинитель. Цена супер. Рекомендую!))))
184,все отлично работает спасибо рекомендую,5,Всё отлично работает. Спасибо рекомендую.
185,хороший товар,5,Хороший товар
186,"хороший удлинитель, для стандартного розетка не подходит",5,"Хороший удлинитель, для стандартного розетка не подходит"
187,"все супер , пункт выдачи хороший , а сотрудники еще лучше",5,"Всё супер , пункт выдачи хороший , а сотрудники ещё лучше!"
188,очень довольны качество супер все работает ,5,Очень довольны! Качество супер. Всё работает .
189,переходник работает за 77 р просто замечательно,5,Переходник работает👍 за 77 р. Просто замечательно.
190,"хороший удлинитель, под цвет моей гирлянды спасибо",5,"Хороший удлинитель, под цвет моей гирлянды👌. Спасибо!"
191,не берите  опасная  вставила в розетку она загорелась  благо все обошлось  но намереваюсь писать  в права потребителя,1,Не берите ! Опасная . Вставила в розетку она загорелась . Благо все обошлось . Но намереваюсь писать . В права потребителя!!!!
192,работает рекомендую к покупке,5,Работает рекомендую к покупке
193,"отличные удлинители, заказала сразу 4 штуки по отличной цене, быстро пришли, все работают",5,"Отличные удлинители, заказала сразу 4 штуки по отличной цене, быстро пришли, все работают!"
194,хороший удлинитель пришел быстро,5,Хороший удлинитель. Пришёл быстро.
195,"отлично, все работает, спасибо",5,"Отлично, всё работает, спасибо"
196,пришло все в целости и сохранности,5,Пришло всё в целости и сохранности.
197,"хороший удлинитель, все работает, доставка быстрая",5,"Хороший удлинитель, всё работает, доставка быстрая."
198,отличный удлинитель продавца рекомендую,5,Отличный удлинитель. Продавца рекомендую.
199,удлинители рабочиев пункте выдаче их проверяли соединив один с другимспасибо,1,"Удлинители рабочие
в пункте выдаче их проверяли соединив один с другим
спасибо!"
200,пока все хорошо,5,Пока всё хорошо
201,"получила вовремя, все работает",5,"Получила вовремя, все работает"
202,"удлиннитель рабочий, рекомендую",5,"Удлиннитель рабочий, рекомендую"
203,"хорошая вещь, у многих гирлянд очень короткие шнуры, а этот спас",5,"Хорошая вещь, у многих гирлянд очень короткие шнуры, а этот спас"
204,"удлинитель пришел целый, все работает",5,"Удлинитель пришел целый, всё работает."
205,хороший удлинитель для гирлянд,5,Хороший удлинитель для гирлянд
206,нужный удлинительвзяла 5 мспасибо,5,Нужный удлинитель.Взяла 5 м.Спасибо
207,"спасибо, в рабочем состоянии",5,"Спасибо, в рабочем состоянии."
208,все работает брала для гирлянд,5,Всё работает. Брала для гирлянд
209,"удлинитель качественный, рабочий брала за 77р",5,"Удлинитель качественный, рабочий. Брала за 77р"
210,"удлинитель выполняет свою функцию, соответствует описанию",5,"Удлинитель выполняет свою функцию, соответствует описанию"
211,прекрасный удлинитель за копейки,5,Прекрасный удлинитель за копейки!
212,все понравилось доставка быстрая,5,Все понравилось. Доставка быстрая👍
213,"пришла в хорошем состоянии, рабочая",5,"Пришла в хорошем состоянии, рабочая."
214,"все супер и доставка, и цена и в эксплуатации",5,"Все супер! И доставка, и цена и в эксплуатации"
215,пришло все целое в рабочем состоянии,5,Пришло всё целое в рабочем состоянии
216,очень хороший удлинитель спасибо,5,Очень хороший удлинитель. Спасибо
217,замечательный и нужный удлинитель,5,Замечательный и нужный удлинитель
218,"удлинитель работает, на много дешевле, чем продают в магазинах нашего города, спасибо",5,"Удлинитель работает, на много дешевле, чем продают в магазинах нашего города, спасибо"
219,"хороший удлинитель, все работает",5,"Хороший удлинитель, все работает"
220,"отлично, крепкое, целое, работает",5,"Отлично, крепкое, целое, работает"
221, очень удобный удлинитель,5,👍🏻👍🏻👍🏻 очень удобный удлинитель!
222,"удобный, за такую цену соответствует",5,"Удобный, за такую цену соответствует"
223,все работает прозрачный провод длина соответствует заявленной,5,Все работает. Прозрачный провод. Длина соответствует заявленной.
